"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg","Q030-avg","Q060-avg","Q090-avg"
"weibull",0.01,100,2.17,2.306,2.377,2.512,2.212,2.025,1.815
"weibull",0.05,20,2.848,2.99,3.083,3.237,3.042,2.951,2.873
"weibull",0.1,10,3.211,3.353,3.458,3.621,3.502,3.485,3.519
"weibull",0.2,5,3.639,3.778,3.898,4.069,4.055,4.144,4.348
"weibull",0.5,2,4.397,4.526,4.671,4.853,5.061,5.385,5.984
"weibull",0.8,1.25,5.06,5.175,5.343,5.532,5.966,6.542,7.587
"weibull",0.9,1.111,5.371,5.479,5.657,5.849,6.399,7.107,8.393
"weibull",0.95,1.053,5.612,5.714,5.9,6.093,6.737,7.552,9.04
"weibull",0.975,1.026,5.81,5.906,6.099,6.294,7.017,7.925,9.586
"weibull",0.98,1.02,5.867,5.962,6.157,6.352,7.098,8.033,9.746
"weibull",0.99,1.01,6.029,6.119,6.319,6.515,7.328,8.341,10.204
